year,iso,country,election,green_code1,green_1,green_1n,green_code2,green_2,green_2n,left_code,left_1,left_1n,social_code,social_1,social_1n,social_code2,social_2,social_2n,right_code,right_1,right_1n,right_code2,right_2,right_2n
1991,BE,Belgium,24/11/1991,green1,ECOLO,,green2,Green!,Groen!,,,,social3,Socialist Party,Parti socialiste,social2,Socialist Party,Socialistische Partij,relig3,Christian Social Party,Parti social-chrétien,relig2,Christian People’s Party,Christelijke Volkspartij
1995,BE,Belgium,21/05/1995,green1,ECOLO,,green2,Green!,Groen!,,,,social3,Socialist Party,Parti socialiste,social2,Socialist Party,Socialistische Partij,relig3,Christian Social Party,Parti social-chrétien,relig2,Christian People’s Party,Christelijke Volkspartij
1999,BE,Belgium,13/06/1999,green1,ECOLO,,green2,Green!,Groen!,,,,social3,Socialist Party,Parti socialiste,social2,Socialist Party,Socialistische Partij,relig3,Christian Social Party,Parti social-chrétien,relig2,Christian People’s Party,Christelijke Volkspartij
2003,BE,Belgium,18/05/2003,green1,ECOLO,,green2,Green!,Groen!,,,,social3,Socialist Party,Parti socialiste,social2,Socialist Party Different,"Socialistische Partij 
Anders",relig3,"Humanist Democratic 
Centre","Centre démocrate 
humaniste",relig2,"Christian Democratic 
and Flemish","Christen-Democratisch 
en Vlaams"
2007,BE,Belgium,10/06/2007,green1,ECOLO,,green2,Green!,Groen!,,,,social3,Socialist Party,Parti socialiste,social2,Socialist Party Different,"Socialistische Partij 
Anders",relig3,"Humanist Democratic 
Centre","Centre démocrate 
humaniste",relig2,"Christian Democratic 
and Flemish","Christen-Democratisch 
en Vlaams"
2010,BE,Belgium,13/06/2010,green1,ECOLO,,green2,Green!,Groen!,leftsoc1,Workers Party of Belgium,PTB-PVDA,social3,Socialist Party,Parti socialiste,social2,Socialist Party Different,"Socialistische Partij 
Anders",relig3,"Humanist Democratic 
Centre","Centre démocrate 
humaniste",relig2,"Christian Democratic 
and Flemish","Christen-Democratisch 
en Vlaams"
2014,BE,Belgium,25/05/2014,green1,ECOLO,,green2,Green!,Groen!,leftsoc2,Workers Party of Belgium,PTB-PVDA,social3,Socialist Party,Parti socialiste,social2,Socialist Party Different,"Socialistische Partij 
Anders",relig3,"Humanist Democratic 
Centre","Centre démocrate 
humaniste",relig2,"Christian Democratic 
and Flemish","Christen-Democratisch 
en Vlaams"
2019,BE,Belgium,26/05/2019,green1,ECOLO,,green2,Green!,Groen!,leftsoc3,Workers Party of Belgium,PTB-PVDA,social3,Socialist Party,Parti socialiste,social2,Socialist Party Different,"Socialistische Partij 
Anders",relig3,"Humanist Democratic 
Centre","Centre démocrate 
humaniste",relig2,"Christian Democratic 
and Flemish","Christen-Democratisch 
en Vlaams"
1991,,Bulgaria,13/10/1991,green1,,,,,,,,,postcom1,Coalition for Bulgaria,Koalicija za Bulgarija,,,,relig1,"Union of Democratic 
Forces","Sayuz na 
demokratichnite sili",,,
1994,,Bulgaria,18/12/1994,green1,,,,,,,,,social2,Coalition for Bulgaria,Koalicija za Bulgarija,,,,relig1,"Union of Democratic 
Forces","Sayuz na 
demokratichnite sili",,,
